athleteId,countHit,prHit,count3Misses,prHit3Misses,count2Misses,prHit2Misses,count1Miss,prHit1Miss,count1Make,prHit1Make,count2Makes,prHit2Makes,count3Makes,prHit3Makes
5108938,283,0.3462897526501767,36,0.4166666666666667,79,0.379746835443038,159,0.389937106918239,97,0.28865979381443296,28,0.32142857142857145,9,0.3333333333333333
5176408,275,0.43636363636363634,31,0.5161290322580645,67,0.43283582089552236,138,0.43478260869565216,110,0.41818181818181815,41,0.34146341463414637,10,0.5
5176410,227,0.46255506607929514,17,0.5882352941176471,48,0.5625,102,0.45098039215686275,98,0.47959183673469385,45,0.4666666666666667,20,0.45
5241809,160,0.4,10,0.5,31,0.5483870967741935,75,0.41333333333333333,58,0.3275862068965517,17,0.35294117647058826,5,0.2
5241811,118,0.3474576271186441,16,0.3125,30,0.3333333333333333,62,0.3548387096774194,31,0.3548387096774194,8,0.375,1,1.0
5313307,82,0.35365853658536583,4,0.0,12,0.3333333333333333,34,0.35294117647058826,23,0.2608695652173913,5,0.6,3,0.6666666666666666
5241812,80,0.3375,3,0.3333333333333333,17,0.35294117647058826,38,0.2894736842105263,15,0.4,4,0.5,1,1.0
5313305,57,0.42105263157894735,1,0.0,3,0.3333333333333333,19,0.42105263157894735,16,0.4375,5,0.2,1,0.0
5313306,39,0.23076923076923078,2,0.5,8,0.5,21,0.3333333333333333,8,0.125,1,0.0,,
5313304,26,0.4230769230769231,,,1,1.0,9,0.5555555555555556,8,0.375,3,0.3333333333333333,1,0.0
5313303,23,0.43478260869565216,,,1,0.0,7,0.42857142857142855,8,0.375,3,0.3333333333333333,1,0.0
5108936,20,0.2,2,0.0,4,0.0,8,0.25,3,0.3333333333333333,,,,
5241810,14,0.5,1,1.0,3,0.6666666666666666,6,0.5,6,0.6666666666666666,3,1.0,2,1.0
